,Year,Country,y_ratio,GDP,Basic_water,Eating_disorder,Employed_%,Fat,Protein,Carbohydrate
0,2014,Afghanistan,1.3652802893309222,2102.4,58.7,0.12,8.463544959839744,38.7,58.3,420.875
1,2014,Albania,1.7054830287206266,11586.8,93.0,0.14,14.874320988762586,109.7,110.0,459.67499999999995
2,2014,Algeria,1.9117811278615298,11512.7,93.2,0.22,2.309647533913025,95.6,90.7,550.1999999999999
3,2014,Angola,1.5217654171704957,8240.3,53.5,0.14,8.720743481850898,59.4,54.7,440.90000000000003
4,2014,Argentina,1.7465016146393972,23550.1,98.9,0.35,0.1412559101718609,116.4,103.3,446.0499999999999
5,2014,Armenia,1.633315593400745,11019.8,99.0,0.13,13.554614522784107,96.7,95.7,453.97499999999997
6,2014,Australia,1.7822454308093996,47232.9,99.0,1.11,1.3710423773498581,156.4,108.0,393.34999999999997
7,2014,Austria,1.8850102669404518,52932.9,99.0,0.62,2.3090106387485845,165.3,106.0,440.07500000000005
8,2014,Azerbaijan,1.6540106951871658,14867.9,91.2,0.15,17.79711067646747,64.0,91.0,538.25
9,2014,Barbados,1.5291338582677165,15043.7,98.5,0.25,1.184938119898183,93.0,86.7,432.3
10,2014,Belgium,1.9460708782742682,48748.6,99.0,0.47,0.4932438303304675,163.0,98.3,482.2
11,2014,Belize,1.496866096866097,7239.3,96.5,0.2,6.683155708245842,71.6,68.3,427.34999999999997
12,2014,Bosnia and Herzegovina,1.6580310880829014,12066.6,96.2,0.14,3.982877029016348,80.6,93.3,525.35
13,2014,Brazil,1.7522546419098144,15749.5,97.6,0.24,4.6566007382463805,122.4,93.3,457.0499999999999
14,2014,Bulgaria,1.4960835509138382,19202.8,99.0,0.16,2.883565417475428,89.7,82.7,431.72499999999997
15,2014,Burkina Faso,1.5981362842166569,1907.9,50.7,0.09,9.53434061013202,63.3,80.3,463.27500000000003
16,2014,Cambodia,1.4872086412734509,3364.3,67.8,0.08,25.65790343726992,36.0,64.7,508.3
17,2014,Cameroon,1.5706866705135603,3470.8,63.6,0.11,17.681914362027022,57.0,72.7,479.55
18,2014,Canada,1.7744282744282744,47564.6,99.0,0.47,0.8555745038321192,152.4,99.0,411.59999999999997
19,2014,Chile,1.606837606837607,24099.3,99.0,0.38,4.1841564217019815,89.7,86.7,463.47499999999997
20,2014,Colombia,1.603419746276889,13852.2,96.0,0.22,7.361538698034828,83.7,67.3,471.12499999999994
21,2014,Costa Rica,1.5396909962706447,18669.1,99.0,0.24,4.794229457875168,91.7,74.7,441.47499999999997
22,2014,Cyprus,1.541430777148739,33136.5,99.0,0.43,1.3946057309877575,110.7,91.7,407.97499999999997
23,2014,Czechia,1.6428571428571428,34386.7,99.0,0.2,1.2908663723819538,130.0,87.0,419.75
24,2014,Denmark,1.7196309584828293,52048.3,99.0,0.51,1.1637126449829889,131.0,109.3,434.7
25,2014,Dominican Republic,1.502171552660152,14499.6,95.8,0.22,4.447849531862784,97.3,58.7,414.12500000000006
26,2014,Ecuador,1.4746335963923336,12078.5,92.4,0.29,10.751812080267646,101.0,65.7,361.05
27,2014,Egypt,1.8801331853496115,10353.7,99.0,0.2,7.402293922614395,58.0,98.3,618.2
28,2014,El Salvador,1.467650397275823,7990.4,94.4,0.2,7.881449197823585,59.0,74.0,439.75
29,2014,Estonia,1.6469984607491022,30494.1,99.0,0.18,1.8291798130023178,105.3,101.7,463.87500000000006
30,2014,Fiji,1.504100601421542,12058.0,94.3,0.1,16.061686404361723,72.3,70.7,454.37500000000006
31,2014,Finland,1.7025641025641025,44976.8,99.0,0.52,1.8981178853080065,141.0,117.3,395.45
32,2014,France,1.7830632514375326,43021.4,99.0,0.51,1.1572018946700442,151.7,108.0,403.425
33,2014,Georgia,1.469012605042017,12254.6,95.6,0.13,19.280253561684233,67.3,76.3,471.52500000000003
34,2014,Germany,1.8121801432958036,50845.5,99.0,0.46,0.6992601924155825,142.0,103.3,462.45
35,2014,Greece,1.7790998448008277,28130.0,99.0,0.48,4.4843040108545935,148.7,107.3,417.87499999999994
36,2014,Guatemala,1.4427299703264096,7939.4,91.8,0.19,12.001082945566724,60.3,67.7,404.37500000000006
37,2014,Honduras,1.473564525298465,5177.4,92.7,0.17,10.64655897737042,83.0,58.3,402.95
38,2014,Hungary,1.6022668727460072,26485.4,99.0,0.19,1.94791611741408,140.7,82.0,378.925
39,2014,Iceland,1.7833935018050542,50450.7,99.0,0.48,2.4464990018016266,158.0,134.7,374.3
40,2014,Indonesia,1.598088813940416,9801.2,87.7,0.11,15.640908284184164,49.0,62.3,538.2
41,2014,Ireland,1.9261992619926198,57668.8,97.4,0.46,2.3353243198615385,131.0,109.7,509.05
42,2014,Israel,2.0089887640449438,37204.5,99.0,0.4,0.49218152391021586,148.0,124.6,436.4
43,2014,Italy,1.805800103573278,39898.5,99.0,0.58,1.3437396229276066,149.3,105.7,430.12500000000006
44,2014,Jamaica,1.4436170212765957,9438.5,90.3,0.2,7.226612157959778,75.3,72.7,436.37500000000006
45,2014,Japan,1.463939720129171,39739.5,98.9,0.42,1.7945108441197999,86.7,86.7,398.22499999999997
46,2014,Kyrgyzstan,1.4964147821290679,4722.1,87.8,0.09,12.444663985294946,65.3,84.3,447.02500000000003
47,2014,Latvia,1.6928759894459102,25423.6,98.5,0.17,3.2826708621525613,121.6,94.3,434.1000000000001
48,2014,Liberia,1.2827102803738317,1673.1,72.0,0.08,5.43538399287259,58.4,39.4,378.20000000000005
49,2014,Lithuania,1.7816938453445554,29855.8,96.1,0.17,4.068722240432267,94.3,119.3,515.2750000000001
