,Year,Country,Undernourishment,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri
0,2015,Albania,4.699999809265137,11878.5,4062.5851921658495,93.4,0.14,15.41353747624998,0.3828663884867581
1,2015,Armenia,2.799999952316284,11321.3,5731.212393939072,99.0,0.13,12.953182622534701,0.3261764179638576
2,2015,Australia,2.5,47569.3,145458.69804313782,99.0,1.11,1.3007417779790476,0.11584515639766861
3,2015,Austria,2.5,52873.9,3132.335876004921,99.0,0.62,2.1657588659640936,2.440802663282385
4,2015,Azerbaijan,2.5,14852.6,4956.799730970625,92.4,0.15,17.64985673001071,0.7754832487735335
5,2015,Barbados,4.300000190734863,15388.6,46543.08915735279,98.5,0.25,1.2967577551370884,0.09495481927710842
6,2015,Belarus,2.5,18362.7,5309.540073631611,96.5,0.14,4.617866513888983,1.1580039505975777
7,2015,Belgium,2.5,49456.4,1927.7226269366813,99.0,0.47,0.47440934924212413,4.644117647058824
8,2015,Belize,7.699999809265137,7292.8,237561.1621218754,97.2,0.2,6.8778641605204385,0.007475916120454387
9,2015,Bosnia and Herzegovina,2.5,12630.7,495.71902878727883,96.2,0.14,4.282166770378863,10.858823529411765
10,2015,Brazil,2.5,15064.2,11514.460480997473,97.8,0.24,4.5534649870476,0.22483734585126797
11,2015,Bulgaria,3.400000095367432,19988.2,15.278331617298903,99.0,0.16,2.887049099974319,438.8727272727273
12,2015,Cambodia,8.899999618530273,3541.4,37358.01490003985,68.4,0.08,23.600395195418464,0.014705527291540914
13,2015,Canada,2.5,47522.1,421.61367795656264,99.0,0.47,0.8186629970887122,37.72785064468915
14,2015,Chile,3.0,24329.6,8784.399396394616,99.0,0.38,4.189382190435762,0.5183655369021223
15,2015,Colombia,6.5,14095.7,9417.775861231581,96.3,0.22,7.366478939227032,0.2054904712215025
16,2015,Costa Rica,4.099999904632568,19141.7,3666.6078771732773,99.0,0.24,5.214751830983301,0.4166526019690577
17,2015,Cyprus,2.5,34453.1,1091.1405554067358,99.0,0.43,1.2326580745520836,5.502052415535206
18,2015,Czechia,2.5,36168.4,3295.7942307565327,99.0,0.2,1.3912043609375753,3.001287922152261
19,2015,Denmark,2.5,52892.6,29410.963322871063,99.0,0.51,1.1829075033904963,0.21041181041181042
20,2015,Dominican Republic,7.400000095367432,15328.4,2561.7411559886887,96.1,0.23,3.8872654504251494,0.8920235741765344
21,2015,Ecuador,9.0,11896.4,1498.2708511004982,93.1,0.29,11.552920419180285,1.6780156442980652
22,2015,El Salvador,10.600000381469728,8143.3,9152.39408068241,95.6,0.2,7.6364230818667345,0.11530488858179305
23,2015,Estonia,2.5,31038.8,202051.9565432249,99.0,0.18,1.897166490538496,0.059673019396835544
24,2015,Finland,2.5,45072.6,1811.6708823439262,99.0,0.52,1.8711112019277782,4.443705941591138
25,2015,France,2.5,43345.8,352.72106599647907,99.0,0.51,1.0994256979902128,14.51174452362101
26,2015,Georgia,8.100000381469727,12605.1,71385.72330263557,95.8,0.13,18.898309717756163,0.03392987060908068
27,2015,Germany,2.5,51159.3,295.6567303703543,99.0,0.46,0.685321810387065,32.90227864852571
28,2015,Ghana,7.699999809265137,4786.0,4563.419478703951,80.2,0.11,11.169295898008432,0.1267944315574454
29,2015,Greece,2.5,28260.4,5815.340472283697,99.0,0.48,4.368803845723399,1.2092434263590903
30,2015,Guatemala,17.299999237060547,8125.7,2372.569016623673,92.1,0.19,12.239521179147111,0.41032157676348546
31,2015,Honduras,14.5,5283.4,3705.7341984509,93.3,0.17,10.953412874754305,0.2902576251110453
32,2015,Hungary,2.5,27531.6,5383.555304422973,99.0,0.19,2.1066739620113673,0.8855433130699089
33,2015,Iceland,2.5,52142.9,1735117.5065180461,99.0,0.48,2.3504331737509725,0.006171029668411867
34,2015,Indonesia,7.0,10149.6,171.45074358690624,88.5,0.11,15.069307821380123,12.448645598194132
35,2015,Ireland,2.5,71508.7,4023.712390540837,97.4,0.46,2.3526035912492853,2.066666666666667
36,2015,Israel,2.5,37306.1,669.1737390104602,99.0,0.4,0.455323910671886,11.79528001498408
37,2015,Italy,2.5,40247.8,2136.8971770969256,99.0,0.58,1.391318977786306,2.7910544611819237
38,2015,Jamaica,9.600000381469728,9473.1,1535.7880114450797,90.4,0.2,6.98973789217938,1.8006756756756757
39,2015,Japan,2.5,40402.6,351.2907716851887,98.9,0.42,1.7814567603252451,27.21076512455516
40,2015,Kazakhstan,2.5,24290.4,123070.553681679,95.0,0.17,8.840104233949333,0.13344233807778333
41,2015,Kiribati,3.200000047683716,2144.7,503213.8253085362,73.8,0.07,6.131960658811651,0.000985309924758151
42,2015,Latvia,2.5,26628.5,170.19785500644497,98.5,0.17,3.559638079267148,21.358823529411765
43,2015,Lithuania,2.5,30748.2,9345.56488141365,96.6,0.18,4.12927303784067,0.48609489051094895
44,2015,Luxembourg,2.5,113183.0,53038.33673582818,99.0,0.62,0.4331784712946478,0.3109883895006487
45,2015,Madagascar,40.20000076293945,1546.8,54.1675194601982,48.9,0.09,33.97153512739085,2.4613392244991235
46,2015,Malaysia,3.799999952316284,24787.8,622.5437683451377,97.1,0.15,5.79400114248096,12.302679755903421
47,2015,Mali,5.0,2139.7,23450.619114694546,74.4,0.09,20.794399972658624,0.007998532827974079
48,2015,Malta,2.5,39887.7,2276045.4747796725,99.0,0.44,0.6711889269972483,0.001764288609647345
49,2015,Mauritius,5.599999904632568,19897.5,10020.191241145987,99.0,0.14,3.218609289558913,0.33359746434231374
