,Year,Country,y_ratio,GDP,Basic_water,Eating_disorder,Employed_%,Fat,Protein,Carbohydrate
73,2015,South Africa,1.566271551724138,14010.1,91.9,0.17,1.6117756629212443,86.7,81.3,450.37499999999994
74,2015,Spain,1.662330905306972,37377.1,99.0,0.64,1.5785917166974675,145.7,105.3,365.625
75,2015,Sri Lanka,1.5098369870713884,11890.5,90.1,0.12,10.735337782279187,48.7,65.0,496.92499999999995
76,2015,Suriname,1.4801089918256132,19317.1,95.7,0.23,0.5726692611457678,78.3,61.3,441.52500000000003
77,2015,Sweden,1.6402061855670103,50929.0,99.0,0.54,1.002299141552096,136.0,107.0,382.5
78,2015,Switzerland,1.730142566191446,68025.9,99.0,0.54,1.8307113306073746,156.7,96.3,400.625
79,2015,Thailand,1.476947535771065,16285.4,99.0,0.13,17.85927112456245,61.7,61.3,496.62499999999994
80,2015,Togo,1.3685121107266436,1920.5,63.6,0.09,4.303400634862372,51.0,56.0,422.5
81,2015,Trinidad and Tobago,1.5954035275253875,30219.3,98.1,0.3,1.5527623962660144,88.3,85.3,462.27500000000003
82,2015,Tunisia,1.8957189901207465,11113.6,94.8,0.21,4.467738722647353,94.3,100.0,551.325
83,2015,Ukraine,1.621593291404612,11216.1,93.7,0.13,5.584836669795374,83.0,86.3,500.45
84,2015,Uruguay,1.6763440860215053,22425.8,99.0,0.37,4.262644954752517,105.3,85.7,456.87500000000006
85,2015,Uzbekistan,1.761542639869636,6401.1,97.5,0.12,11.644848700705564,89.7,98.7,510.22499999999997
