,Year,Country,y_ratio,GDP,Basic_water,Eating_disorder,Employed_%,Fat,Protein,Carbohydrate
29,2013,Georgia,1.4918720503408496,11740.1,95.5,0.12,19.12403509174918,65.7,76.7,486.725
30,2013,Germany,1.789769820971867,49954.2,99.0,0.46,0.7044476695453747,142.3,102.0,452.5750000000001
31,2013,Ghana,1.6841511562323743,4769.1,77.9,0.11,20.42636626172032,42.6,62.6,588.05
32,2013,Greece,1.7582815734989647,27810.9,99.0,0.48,4.478850660690782,149.0,107.7,406.3
33,2013,Guatemala,1.4464922711058263,7734.1,91.4,0.19,11.417411112887228,60.0,67.0,406.25
34,2013,Honduras,1.5048488305761551,5113.5,92.2,0.17,13.085308399454274,83.7,58.3,412.875
35,2013,Hungary,1.5638516992790936,25343.7,99.0,0.19,1.8911069366721704,135.7,80.3,373.625
36,2013,Iceland,1.7591542031975245,50168.7,99.0,0.48,2.345091902663252,152.7,131.0,378.175
37,2013,Indonesia,1.5573678290213724,9457.0,86.9,0.1,15.882306327199323,49.4,61.3,519.8000000000001
38,2013,Ireland,1.898367561874671,53435.6,97.3,0.46,2.423329937474894,129.0,106.7,504.3
39,2013,Israel,1.9943851768669287,36423.2,99.0,0.4,0.5422094384960298,148.0,125.0,430.0
40,2013,Italy,1.85440414507772,40268.1,99.0,0.58,1.3282302334435847,153.0,107.3,443.2
41,2013,Jamaica,1.446751863684771,9427.7,90.1,0.2,7.078367515417794,74.7,73.0,438.175
42,2013,Japan,1.4706831629908552,39569.6,98.8,0.42,1.8158553695045905,86.3,87.0,402.3250000000001
43,2013,Kazakhstan,1.7380694143167028,23720.8,94.6,0.16,12.178935914810411,127.3,93.7,421.12500000000006
44,2013,Kyrgyzstan,1.5013743815283125,4631.4,87.2,0.09,12.504274762916417,65.0,85.0,451.5
45,2013,Latvia,1.6736953083816553,24715.7,98.4,0.17,3.5178366219222963,119.7,93.6,430.82499999999993
46,2013,Lithuania,1.767735155018392,28589.0,95.7,0.17,3.618818333910503,92.7,117.0,515.425
47,2013,Luxembourg,1.7982723577235773,113051.0,99.0,0.61,0.6784578124942402,139.3,113.0,458.3250000000001
48,2013,Malawi,1.559402985074627,1418.1,64.6,0.08,23.841843386005948,41.4,68.0,491.85
49,2013,Malaysia,1.570414847161572,22855.9,97.0,0.15,5.701090409680381,89.3,78.3,440.025
50,2013,Mali,1.7387878787878788,1995.2,71.1,0.09,24.929199979525656,58.3,82.0,504.0750000000001
51,2013,Malta,1.740340030911901,35325.2,99.0,0.43,0.538081024254712,116.7,110.7,471.225
52,2013,Mauritius,1.6283422459893049,18579.4,99.0,0.13,2.9711866107826785,92.3,85.7,467.87500000000006
53,2013,Mexico,1.6972677595628416,18600.4,97.2,0.25,5.6094296960391885,97.0,88.3,469.95
54,2013,Mongolia,1.4326710816777042,10371.3,79.0,0.13,11.418555803820066,108.4,80.7,324.40000000000003
55,2013,Montenegro,1.780104712041885,17381.7,96.9,0.16,1.469005750851771,134.0,107.3,441.2
56,2013,Morocco,1.8303327877795963,6827.9,81.0,0.18,11.97513182581031,67.3,97.0,590.325
57,2013,Namibia,1.3589009730967372,9990.7,81.7,0.16,9.526412734060262,51.3,62.0,416.075
58,2013,Netherlands,1.6364097363083163,51640.1,99.0,0.41,0.94467234624228,125.0,110.3,415.2
59,2013,New Zealand,1.6801258521237543,39521.1,99.0,0.65,3.2045898224617404,119.0,91.3,441.95
60,2013,Nigeria,1.5348288075560803,5329.1,65.3,0.12,12.874158866355986,57.0,60.3,461.45
61,2013,North Macedonia,1.527187985499741,14108.9,97.4,0.14,5.941095293259123,101.7,78.3,430.125
62,2013,Norway,1.7855310415597745,61879.0,99.0,0.49,1.1272261224618365,142.0,113.6,436.9
63,2013,Pakistan,1.3861158921399883,4580.7,89.2,0.12,11.852675509043149,74.3,61.7,375.12500000000006
64,2013,Panama,1.5520540236353404,26480.6,92.3,0.28,7.131711114767065,81.0,78.0,429.25
65,2013,Paraguay,1.511001100110011,11209.1,94.3,0.22,11.19203449686365,93.3,64.7,412.12500000000006
66,2013,Peru,1.52759009009009,11724.0,89.1,0.31,14.624696202920228,55.7,82.3,470.625
67,2013,Philippines,1.4717090069284064,6666.3,91.2,0.1,11.97046750110689,52.7,59.3,459.375
68,2013,Poland,1.758264462809917,25759.3,98.8,0.19,4.892769136698936,120.0,100.7,480.3
69,2013,Portugal,1.7848563968668407,30042.9,99.0,0.45,4.326390894703297,134.0,111.0,442.0
