,Year,Country,y_ratio,GDP,Basic_water,Eating_disorder,Employed_%,Fat,Protein,Carbohydrate,GDP_normalized,Basic_water_normalized,Eating_disorder_normalized,Employed_%_normalized,Fat_normalized,Protein_normalized,Carbohydrate_normalized
0,2013,Albania,1.7186847599164927,11361.3,92.6,0.14,15.527752025974348,108.7,109.0,469.675,-0.8963566615060387,-1.3219128163281808,-0.9065876413426439,2.009214691448775,0.09171670995622623,1.0709197953571479,0.5588968720478872
1,2013,Algeria,1.9142061281337048,11319.1,93.0,0.22,2.991599190941532,94.1,90.7,556.5749999999999,-0.8989004891629614,-1.193611520783678,-0.3945681848727468,-0.5098000078422701,-0.376862211379928,0.030880144837965813,2.581051111970977
2,2013,Argentina,1.7282023681377825,24424.1,98.9,0.35,0.1593016936472421,114.3,101.3,444.275,-0.10892746916359602,0.6988325884977129,0.437463431890836,-1.0789219005262531,0.27144561129064126,0.6333074833900602,-0.03215856746933488
3,2013,Armenia,1.6072378924960085,10691.3,99.0,0.13,14.568022493152077,96.3,93.3,445.025,-0.9367444465804053,0.7309079123838363,-0.970590073401381,1.8163666277456096,-0.3062544287128362,0.17864534108659247,-0.014706143074141339
4,2013,Austria,1.9076449461262184,52997.8,99.0,0.61,2.195135662586308,168.3,104.3,446.525,1.613503059760927,0.7309079123838363,2.101526665418002,-0.6698413986722637,2.004545731301074,0.8038057867538605,0.020198705716245744
5,2013,Azerbaijan,1.66008537886873,14651.7,89.8,0.15,17.872206039401128,64.7,91.3,540.875,-0.6980104405975371,-2.2200218851396865,-0.8425852092839069,2.480309308700902,-1.3204389433856076,0.06497980551072556,2.215713694631594
6,2013,Bangladesh,1.3848758465011286,3965.4,96.8,0.11,17.144373269981905,29.7,55.7,490.975,-1.342183556478439,0.025250786889080147,-1.0985949375188555,2.334058583385145,-2.443744576725703,-1.9582667277397052,1.054545724871384
7,2013,Barbados,1.534419337887546,15085.0,98.5,0.25,1.1959450428077976,89.7,85.0,443.175,-0.6718909969069057,0.5705312929532101,-0.20256088869653535,-0.8706187736562382,-0.5180777767141111,-0.2930666315532551,-0.05775545658228461
8,2013,Belgium,1.9173086800205443,48204.6,99.0,0.47,0.5523126754077996,161.3,98.3,472.025,1.3245676397333832,0.7309079123838363,1.2054926165956816,-0.999950269192033,1.7798846046330552,0.46280918002625976,0.6135811351528262
9,2013,Bosnia and Herzegovina,1.6079751424132571,11725.3,96.4,0.14,4.3748401596794215,78.7,91.0,508.175,-0.8744146409581738,-0.10305050865541807,-0.9065876413426439,-0.23185155118537515,-0.8711166900495696,0.04792997517434569,1.4547879910011556
10,2013,Brazil,1.730891719745223,15805.2,97.3,0.24,4.999996915973775,120.0,93.3,451.95,-0.628477141965773,0.18562740631970634,-0.26656332075527256,-0.10623254516418182,0.4543839572917425,0.17864534108659247,0.1464379088414793
11,2013,Bulgaria,1.4762402088772846,18911.1,99.0,0.16,2.6811732965784247,88.7,82.7,424.475,-0.44125263202178006,0.7309079123838363,-0.7785827772251697,-0.5721769907357774,-0.5501722233809709,-0.4237819974655018,-0.4929025715024433
12,2013,Canada,1.789090909090909,46704.8,99.0,0.47,0.8895943783265303,146.7,101.0,429.925,1.2341592814430324,0.7309079123838363,1.2054926165956816,-0.9321768798089757,1.3113056832969003,0.6162576530536803,-0.3660816208973705
13,2013,Chile,1.6063034188034189,23927.4,99.0,0.37,4.198449171590926,87.7,86.0,468.425,-0.13886868236723454,0.7309079123838363,0.5654682960083104,-0.26729555842304137,-0.5822666700478308,-0.2362338637653216,0.5298094980558979
14,2013,Colombia,1.5836554389839868,13390.5,95.8,0.22,7.43568430246958,82.0,65.7,466.8,-0.7740359249793151,-0.29550245197217223,-0.3945681848727468,0.38319450715403136,-0.7652050160489321,-1.3899390498603705,0.491995911866312
15,2013,Costa Rica,1.517590618336887,18233.0,98.9,0.24,4.2189438416772616,89.3,74.3,436.525,-0.48212868733361286,0.6988325884977129,-0.26656332075527256,-0.26317735917292306,-0.5309155553808552,-0.9011772468841432,-0.21250028621966816
16,2013,Cyprus,1.5498971193415638,33384.5,99.0,0.44,0.9911125953564492,111.7,92.7,409.225,0.4312079179712621,0.7309079123838363,1.0134853204194705,-0.9117778080754572,0.1880000499568058,0.14454568041383273,-0.847768534204712
17,2013,Czechia,1.6723163841807909,33661.5,99.0,0.2,1.4131732884309862,133.7,86.7,426.475,0.44790555448708236,0.7309079123838363,-0.5225730489902211,-0.8269689274054138,0.8940778766277223,-0.196450926313768,-0.44636277311526057
18,2013,Denmark,1.7255002565418165,51479.3,99.0,0.51,1.2102014986470744,130.3,109.3,438.275,1.5219674603050677,0.7309079123838363,1.4615023448306306,-0.8677540812508796,0.7849567579603994,1.0879696256935278,-0.1717779626308832
19,2013,Dominican Republic,1.474198804997284,13702.3,95.5,0.22,4.267091524414359,96.7,57.0,403.925,-0.755240534850677,-0.39172842363054705,-0.3945681848727468,-0.25350256323292664,-0.2934166500460921,-1.8843841296153918,-0.9710989999307467
20,2013,Ecuador,1.4531602708803613,11818.6,91.7,0.29,11.358345164750562,101.0,66.0,350.5,-0.8687904911858776,-1.6105907313033052,0.05344883953841309,1.1714140273249987,-0.15541052937859479,-1.3728892195239908,-2.214293364348367
21,2013,El Salvador,1.466742467310972,7892.5,93.3,0.2,8.219035326095629,58.7,73.0,439.925,-1.1054568836940433,-1.0973855491253033,-0.5225730489902211,0.540601071128292,-1.5130056233867668,-0.9750598450084565,-0.13338262896145664
