,Country,y_ratio,GDP_per_capita,Agricultural_land_per_capita,Percentage_with_basic_water_service,Prevalence_of_eating_disorder,Percentage_employed_in_agriculture,co2_per_agricultural_land_area
0,Afghanistan,1.3741050119331741,2058.4,0.010444646021000379,0.6679999999999999,0.12,0.0075496662066357086,1.8095489316802956e-05
1,Albania,1.7404500261643119,12771.0,0.004071470846541933,0.941,0.14,0.01573344003073329,0.0004515103284477906
2,Algeria,1.8994946659180236,11737.4,9.272955808542794e-05,0.938,0.22,0.0026627058243440262,0.04036894215737363
3,Armenia,1.6384,12115.1,0.005691749052309011,0.99,0.13,0.01076854742394107,0.0003303502177674363
4,Australia,1.7812663526949242,48398.5,0.1512478126568562,0.99,1.11,0.001295090182398589,0.00011154107848331392
5,Austria,1.895629820051414,54173.0,0.0030098066849268846,0.99,0.61,0.0018982977361879985,0.0026218065109130497
6,Azerbaijan,1.684747583243824,14121.4,0.00485256136014324,0.9390000000000001,0.15,0.017804040012529814,0.0007688121402407116
7,Bangladesh,1.4242424242424243,4894.6,0.00012731280971518103,0.9740000000000001,0.12,0.015463252300347716,0.003981505164781112
8,Barbados,1.5256813417190775,15800.4,0.04636147979415084,0.985,0.25,0.001408312924266933,8.81688018085908e-05
9,Belarus,1.7241014799154335,18356.1,0.010096396565037073,0.965,0.14,0.005545609298733692,0.0006300589121223142
10,Belgium,1.9362795477903392,50442.3,0.004404228743321221,0.99,0.48,0.00047256718009287775,0.0019772861028487807
11,Belize,1.5365439093484419,7140.9,0.05929079901536824,0.98,0.2,0.006858625507284945,2.7648114901256732e-05
12,Bosnia and Herzegovina,1.6981327800829875,13753.8,0.025343618772776882,0.961,0.14,0.0045926432493300084,0.00025687544148810925
13,Brazil,1.7232237539766702,14524.6,8.275842530809615e-06,0.985,0.24,0.004067539555062991,0.29113837209302323
14,Bulgaria,1.4764890282131662,21469.9,0.33351665030611966,0.99,0.16,0.003111024192771736,2.008708258154177e-05
15,Burundi,1.0500905250452626,773.6,9.236160306492743e-06,0.608,0.07,0.029275940448932808,0.0053
16,Cambodia,1.4968803176403858,3928.4,0.03624367739154459,0.6970000000000001,0.08,0.021721364799571354,2.218909416793051e-05
17,Canada,1.8224882873503383,48317.2,0.000411901169353618,0.99,0.47,0.0007613860665911505,0.037631221170668326
18,Chile,1.6098081023454158,24411.5,0.008530930184864071,0.99,0.39,0.004145679073303954,0.0005333883353430222
19,Colombia,1.6096756459593182,14171.3,0.010120457550426863,0.9690000000000001,0.23,0.007516533890396379,0.00017433887553283906
20,Costa Rica,1.6019159127195317,20347.0,0.003594982176605646,0.99,0.25,0.00517869354367868,0.0004670974992975555
21,Cyprus,1.5648815653964985,38288.0,0.0010292578103476776,0.99,0.44,0.0008134374854304327,0.0061958491187613235
22,Czechia,1.685890834191555,38824.9,0.0033088895889045347,0.99,0.2,0.0013751767685690635,0.0030563192274921896
23,Denmark,1.7393753200204813,55356.7,0.02911059601620787,0.99,0.52,0.0010169955150457662,0.0002082039911308204
24,Djibouti,1.4830736163353035,4905.0,0.018027751297532042,0.759,0.11,0.00010666242982734878,2.3678025851938895e-05
25,Dominican Republic,1.5555555555555556,16735.4,0.0025028747437366543,0.965,0.23,0.003992452852443012,0.0009127427507315775
26,Ecuador,1.4398200224971878,11617.9,0.0014470947175621418,0.943,0.3,0.012813466690846475,0.0016169617126389462
27,El Salvador,1.5065082059988681,8454.1,0.06470622799432196,0.972,0.21,0.008002286743338107,1.455420226849693e-05
28,Estonia,1.6100564391995895,33821.9,0.042368096141471544,0.99,0.19,0.0017529326074417779,0.0003361001788908766
29,Finland,1.7112820512820512,47570.1,0.047711404710115736,0.99,0.52,0.0016853698135418913,0.0001698083286398867
30,France,1.8348144276006273,44577.1,0.00015144385522880422,0.99,0.51,0.0010639886992656917,0.0343173116089613
31,Georgia,1.4686015831134565,13589.7,0.0056626511734534915,0.97,0.13,0.01835799081153774,0.00044845814977973565
32,Germany,1.8182751540041069,53071.5,0.0034718184990932804,0.99,0.46,0.0006435679235438456,0.0027385069340014616
33,Ghana,1.6844469399213924,5115.9,0.0008189148732357686,0.8240000000000001,0.12,0.00934684121649928,0.0005761489433076149
34,Greece,1.7422520661157024,28604.9,0.011938143606161494,0.99,0.48,0.004289334287908481,0.0005932416967560525
35,Guatemala,1.4952830188679245,8322.2,0.0035788050093828088,0.929,0.19,0.012565017820301037,0.0002856510027982301
36,Honduras,1.5005643340857788,5562.0,0.004089504143380391,0.9420000000000001,0.17,0.01243854077668338,0.00022969398340248962
37,Hungary,1.697626418988648,29501.1,0.0035869104285772132,0.99,0.19,0.0022887469061612844,0.0014169627507163323
38,Iceland,1.8805355303810505,55638.5,0.15858490707097894,0.99,0.49,0.0021731784267109257,6.798038845936263e-05
39,Indonesia,1.6784511784511784,10935.6,0.0023540438407451784,0.9009999999999999,0.11,0.014284548869375791,0.0009232359550561799
40,Ireland,2.0173592845870596,77749.2,0.009444002994983885,0.9740000000000001,0.49,0.0023219119593392437,0.0008717531744263756
41,Israel,2.005061867266592,39121.3,0.002270784226007078,0.99,0.41,0.0004534654205172148,0.0031449252136752136
42,Italy,1.7987584066218314,41581.1,0.00010614154773099698,0.99,0.59,0.0014359154912863721,0.054790372670807455
43,Jamaica,1.464152947424323,9600.1,0.043913856523858825,0.907,0.2,0.006898681478803416,6.079567647469277e-05
44,Japan,1.4596340150699678,41444.2,3.482278434073975e-05,0.99,0.42,0.0017332962475908752,0.2675952702702703
45,Jordan,1.5174515235457064,10003.6,0.0010290378751338669,0.99,0.2,0.0007077982063880055,0.0025383316782522343
46,Kazakhstan,1.7855183763027975,24863.0,0.002457961338989373,0.9540000000000001,0.17,0.007295344298215533,0.006928645364536454
47,Kuwait,1.8003136434918976,50855.6,0.533057847164593,0.99,0.37,0.0014270104647269718,4.400507460905576e-05
48,Latvia,1.7051961823966066,28673.6,0.02896831884831969,0.986,0.18,0.0031479214001149097,0.0001276539278131635
49,Lithuania,1.808870116156283,33761.9,0.0005320833241079784,0.975,0.18,0.003706237991663091,0.008964332892998679
50,Luxembourg,1.75772934617334,114986.0,0.046631774210442734,0.99,0.62,0.0005313271860439185,0.0003355191652778784
51,Malaysia,1.5636561479869424,26661.5,0.0009436851475666632,0.971,0.16,0.005256448118664172,0.008536129186113855
52,Mali,1.7404948702474352,2246.8,7.084861360718177e-05,0.777,0.09,0.020499280753526142,0.0026944601168056846
53,Malta,1.7767441860465116,43559.3,0.04413897039514997,0.99,0.45,0.0005025860002055099,8.065183652353853e-05
54,Mauritania,1.6327231121281465,5108.5,0.22637278165368463,0.7070000000000001,0.12,0.005688087233355952,3.6814308996761085e-06
55,Mauritius,1.6194029850746268,21415.1,0.010011886149196084,0.99,0.14,0.002991703420411436,0.0003582938388625592
56,Mexico,1.7247007616974972,19721.3,0.0033019620359237057,0.9890000000000001,0.26,0.005458739267120706,0.0011161112594354505
57,Mongolia,1.5016703786191536,11366.3,3.33356028091829e-05,0.8270000000000001,0.14,0.011446604585797106,0.3301059730250482
58,Montenegro,1.8308014667365113,19682.3,0.2080046146761361,0.9790000000000001,0.16,0.002899151160919302,1.6110498253355397e-05
59,Myanmar,1.5789473684210527,4224.5,4.801197095978234e-05,0.7759999999999999,0.09,0.020804227676025785,0.009663675380413577
60,Nepal,1.6672413793103449,3565.2,0.04106267715888019,0.887,0.11,0.00551281269042216,1.026552257088591e-05
61,Netherlands,1.6590563165905632,55088.6,0.023300745229048892,0.99,0.42,0.0010341897796084726,0.00040999974786314015
62,New Zealand,1.6563645887899423,42218.5,0.00018289976518647588,0.99,0.67,0.0034719054263595566,0.041691860465116276
63,North Macedonia,1.5631168831168831,15706.4,0.04116722606575613,0.976,0.15,0.005573401678005145,8.75510442188776e-05
64,Norway,1.7282497441146367,64050.8,0.0034344575596205974,0.99,0.51,0.0010273351856872805,0.002439362286970863
65,Panama,1.591138530566461,30446.8,0.00239875483470684,0.9359999999999999,0.29,0.00630255354337381,0.001138144698267811
66,Paraguay,1.5062944718117133,12590.5,0.006001114305427448,0.99,0.22,0.0094612132298868,0.00019589905362776028
67,Peru,1.5446927374301676,12506.5,0.0033850334327705455,0.914,0.31,0.014509629058979151,0.0005047162720781661
68,Philippines,1.5269804822043629,8120.9,0.0002094645655935007,0.929,0.11,0.009756189140702759,0.006123558783477076
69,Poland,1.8145077720207254,30064.5,0.006460093879890315,0.99,0.2,0.004405952745562059,0.0013772800087184542
70,Portugal,1.7816091954022988,33044.7,0.01223207170472508,0.99,0.46,0.002958985285259979,0.0004388637266587207
71,Romania,1.8522964509394573,27141.9,0.0073583112945244744,0.99,0.17,0.010048226398682077,0.0005338334946757018
72,Rwanda,1.2877822814128546,1975.2,0.0030660254270108572,0.5870000000000001,0.09,0.010495995312562598,2.8583929276498827e-05
73,Samoa,1.674931129476584,6486.1,0.8560253483348519,0.917,0.1,0.004615628743128001,1.465035872449791e-06
74,Serbia,1.4715404699738903,16611.0,0.015151269765424866,0.941,0.15,0.0054492134035620775,0.00034030497832261925
75,Seychelles,1.6798269334775555,28116.7,0.18790059947312743,0.963,0.16,0.00177767636748325,3.074460451509632e-05
76,Slovenia,1.666840731070496,36507.6,0.005804290609445698,0.99,0.2,0.002554186462595026,0.0012107534019249917
77,South Africa,1.5610543302850994,13860.3,0.0006030547194802742,0.927,0.17,0.001515698577324104,0.013502006980802792
78,Spain,1.717628705148206,39528.9,0.00013184865256439453,0.99,0.65,0.0017566564876122634,0.04465433142559834
79,Sri Lanka,1.523327712197864,12584.1,0.001425296293624753,0.915,0.12,0.010129601304958512,0.0007647681952068328
80,Sweden,1.647422680412371,51948.0,1.5648828180409788e-06,0.99,0.55,0.0009236342232805093,2.748
81,Switzerland,1.7276899541050486,69103.6,0.004517610817762063,0.99,0.54,0.0016638762732832872,0.0009995549738219896
82,Thailand,1.4673740053050397,17423.0,0.0032813260730152993,0.99,0.14,0.017025429800254947,0.0012591809775429326
83,Togo,1.3810344827586207,2012.2,0.012655751605902259,0.66,0.09,0.009281317497125404,2.268295186287591e-05
84,Tunisia,1.9015401540154016,11234.5,0.012607756302172627,0.96,0.22,0.0044599358478176025,0.00020278182448838018
85,Uganda,1.1990549320732429,2074.7,0.010078318854115382,0.51,0.1,0.009947975285199735,1.2952830870833233e-05
