,Year,Country,Undernourishment,GDP,Agri_land_cap,Basic_water,Fat,Protein,Carbohydrate
0,2013,Afghanistan,26.299999237060547,2116.5,11747.901863773177,56.0,38.7,58.0,403.925
1,2013,Albania,3.900000095367432,11361.3,186574.17828023256,92.6,109.7,109.0,467.42499999999995
2,2013,Algeria,3.0999999046325684,11319.1,311.2993619110325,93.0,95.6,90.7,553.1999999999999
3,2013,Angola,15.0,8141.2,145.83453292550917,99.0,59.4,53.7,430.65000000000003
4,2013,Argentina,2.799999952316284,17643.1,29134.82204821325,99.0,116.4,101.3,439.5499999999999
5,2013,Armenia,3.299999952316284,24424.1,5808.2691392476445,52.8,96.7,93.3,444.12499999999994
6,2013,Australia,2.5,10691.3,159869.45037676342,96.7,156.4,108.7,396.65
7,2013,Austria,2.5,46744.6,3174.777187652777,98.9,165.3,104.3,453.27500000000003
8,2013,Azerbaijan,2.5,52997.8,5082.112589602627,99.0,64.0,91.3,542.45
9,2013,Bangladesh,15.100000381469728,14651.7,87.489374279661,99.0,31.3,55.7,487.37500000000006
10,2013,Barbados,4.400000095367432,35529.6,138940.67409090587,99.0,93.0,85.0,435.75
11,2013,Belarus,2.5,46930.8,13098.103019450731,89.8,128.7,91.0,443.17499999999995
12,2013,Belgium,2.5,3965.4,8318.086198252682,98.8,163.0,98.3,468.2
13,2013,Belize,8.100000381469727,15085.0,144486.5160381479,99.0,71.6,68.3,437.59999999999997
14,2013,Benin,7.599999904632568,18805.4,2160.007692466081,96.8,51.0,66.0,498.75
15,2013,Bosnia and Herzegovina,2.5,48204.6,24589.86314563493,98.5,80.6,91.0,503.9
16,2013,Botswana,28.0,7083.4,775.7383938627457,96.7,70.0,73.3,397.95
17,2013,Brazil,2.799999952316284,2876.9,11639.542755506996,99.0,122.4,93.3,446.5499999999999
18,2013,Bulgaria,3.400000095367432,80503.7,17.14656001597785,95.9,89.7,82.7,422.22499999999997
19,2013,Burkina Faso,12.199999809265137,9163.6,15159.793430389125,64.5,63.3,80.7,465.87500000000006
20,2013,Cambodia,10.800000190734863,7444.5,3380.73235447378,99.0,36.0,64.3,500.45
21,2013,Cameroon,5.599999904632568,11725.3,26199.761746228025,94.7,57.0,72.3,489.7
22,2013,Canada,2.5,15597.6,432.01958968438146,89.2,152.4,101.0,417.0999999999999
23,2013,Central African Republic,40.29999923706055,15805.2,35479.305611917414,96.4,57.6,49.3,311.09999999999997
24,2013,Chad,31.299999237060547,66715.7,7374.947552776826,86.5,65.3,77.0,360.32500000000005
25,2013,Chile,3.0999999046325684,18911.1,25504.6919126823,97.3,89.7,86.0,463.92499999999995
26,2013,Colombia,8.100000381469727,1883.8,387.34938002161584,99.0,83.7,65.7,462.97499999999997
27,2013,Costa Rica,4.099999904632568,877.3,229.49694766739958,99.0,91.7,74.3,431.12499999999994
28,2013,Cyprus,4.699999809265137,6323.4,30781.577562406786,51.3,110.7,92.7,411.47499999999997
29,2013,Czechia,2.5,3191.9,15771.930535494683,58.3,130.0,86.7,434.8
30,2013,Denmark,2.5,3372.9,3018.7196088363708,84.3,131.0,109.3,436.7
31,2013,Djibouti,19.700000762939453,46704.8,283.03082998224835,67.1,62.7,65.4,443.525
32,2013,Dominica,5.199999809265137,824.9,370041.81979470287,63.2,82.3,81.0,471.57500000000005
33,2013,Dominican Republic,8.899999618530273,1804.3,2340.711683833544,99.0,97.3,57.0,402.57500000000005
34,2013,Ecuador,9.0,23927.4,26377.0213069919,44.4,101.0,66.0,350.5
35,2013,El Salvador,10.5,11383.0,11989.959904731446,43.7,59.0,73.0,439.25
36,2013,Estonia,2.5,55229.6,202667.3378476318,99.0,105.3,99.7,475.87500000000006
37,2013,Eswatini,14.899999618530272,161972.0,8878.927315168796,99.0,54.4,58.7,433.15000000000003
38,2013,Ethiopia,21.799999237060547,13390.5,3847.428023877768,99.0,29.7,71.3,446.12499999999994
39,2013,Fiji,4.400000095367432,3004.4,26091.667995221826,95.8,72.3,70.0,454.32500000000005
40,2013,Finland,2.5,5331.9,582.8294402042734,81.0,141.0,116.7,392.3
41,2013,France,2.5,18233.0,4503.383128680342,69.1,151.7,108.7,418.22499999999997
42,2013,Gabon,16.100000381469727,3961.8,11850.044302090728,99.0,55.3,83.7,483.12500000000006
43,2013,Georgia,5.400000095367432,24057.8,6140.4880231955885,98.9,67.3,76.7,483.12500000000006
44,2013,Germany,2.5,33384.5,1563.419963955128,71.1,142.0,102.0,453.25
45,2013,Ghana,7.099999904632568,33661.5,2688.325608734935,95.4,41.0,62.6,591.65
46,2013,Greece,2.5,972.5,3464.1773228269335,99.0,148.7,107.7,406.97499999999997
47,2013,Guatemala,17.600000381469727,51479.3,769.6036008620515,99.0,60.3,67.0,405.57500000000005
48,2013,Guyana,5.900000095367432,4031.2,44410.43566215933,95.9,61.3,81.3,473.52500000000003
49,2013,Haiti,47.09999847412109,11671.1,1769.116457090465,41.5,49.3,47.0,372.825
50,2013,Honduras,14.100000381469728,13702.3,5974.865784306549,99.0,83.0,58.3,414.45
51,2013,Hungary,2.5,11818.6,57962.6259021959,75.7,140.7,80.3,362.375
52,2013,Iceland,2.5,10290.2,5492093.3757954,95.4,158.0,131.0,366.25
53,2013,India,15.100000381469728,7892.5,34.9535665485677,95.5,53.0,60.3,436.45
54,2013,Indonesia,8.300000190734863,33678.7,352.00806248281214,91.7,49.0,61.3,520.7
55,2013,Iraq,36.70000076293945,29525.1,564.6459267108769,98.9,71.0,64.7,423.05
56,2013,Ireland,2.5,8179.8,1127.3065584845256,93.3,131.0,106.7,499.8
