,Year,Country,Undernourishment,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri
0,2013,Albania,3.900000095367432,11361.3,4088.797116042907,92.6,0.14,15.527752025974348,0.4150593784216289
1,2013,Algeria,3.0999999046325684,11319.1,10863.001379963614,93.0,0.22,2.991599190941532,0.31964705230677
2,2013,Argentina,2.799999952316284,24424.1,29134.82204821325,98.9,0.35,0.15930169364724212,0.15465838711409222
3,2013,Armenia,3.299999952316284,10691.3,5808.2691392476445,99.0,0.13,14.568022493152075,0.3288770053475936
4,2013,Australia,2.5,46744.6,159869.45037676342,99.0,1.1,1.286984014388014,0.10575509380673795
5,2013,Austria,2.5,52997.8,3174.777187652777,99.0,0.61,2.1951356625863077,2.4944411721395965
6,2013,Azerbaijan,2.5,14651.7,5082.112589602627,89.8,0.15,17.872206039401128,0.7382909136651433
7,2013,Bangladesh,15.100000381469728,3965.4,607.3523490959182,96.8,0.11,17.144373269981905,0.6658978228066393
8,2013,Barbados,4.400000095367432,15085.0,439.6856775028667,98.5,0.25,1.1959450428077976,11.496
9,2013,Belgium,2.5,48204.6,1198.2239926670306,99.0,0.47,0.5523126754077996,7.680658436213992
10,2013,Bosnia and Herzegovina,2.5,11725.3,6100.042962819942,96.4,0.14,4.3748401596794215,1.008838500694123
11,2013,Brazil,2.799999952316284,15805.2,11639.542755506996,97.3,0.24,4.999996915973775,0.2275323658548885
12,2013,Bulgaria,3.400000095367432,18911.1,6851.765382384749,99.0,0.16,2.6811732965784247,0.8544544544544544
13,2013,Cambodia,10.800000190734863,3191.9,3630.2942900894627,67.1,0.08,27.267649519210615,0.10225481209899176
14,2013,Canada,2.5,46704.8,16387.443799017557,99.0,0.47,0.8895943783265303,0.9918381107153971
15,2013,Chile,3.0999999046325684,23927.4,8981.014269005424,99.0,0.37,4.198449171590926,0.5184145491413726
16,2013,Colombia,8.100000381469727,13390.5,9638.697876344657,95.8,0.22,7.43568430246958,0.19508385472915682
17,2013,Costa Rica,4.099999904632568,18233.0,3797.8866374068425,98.9,0.24,4.2189438416772616,0.42376457523598
18,2013,Cyprus,4.699999809265137,33384.5,951.4226316718916,99.0,0.44,0.9911125953564491,6.047045851327759
19,2013,Czechia,2.5,33661.5,3325.924861680349,99.0,0.2,1.4131732884309862,3.0254473161033797
20,2013,Denmark,2.5,51479.3,4661.101722692116,99.0,0.51,1.2102014986470744,1.5885083713850838
21,2013,Dominican Republic,8.899999618530273,13702.3,2340.711683833544,95.5,0.22,4.267091524414359,0.9042091836734694
22,2013,Ecuador,9.0,11818.6,4783.073636351309,91.7,0.29,11.358345164750562,0.5239185411952615
23,2013,El Salvador,10.5,7892.5,1980.186643124022,93.3,0.2,8.219035326095629,0.49113475177304966
24,2013,Estonia,2.5,29525.1,7315.771438621815,99.0,0.18,2.005506918521259,2.045388601036269
25,2013,Ethiopia,21.799999237060547,1545.2,3847.428023877768,39.0,0.07,26.435297497111733,0.026651952369274368
26,2013,Finland,2.5,45328.6,4152.429939120983,99.0,0.52,1.858637569075401,2.29036971441222
27,2013,France,2.5,42816.3,4503.383128680342,99.0,0.51,1.2308446928577421,1.242582636226832
28,2013,Georgia,5.400000095367432,11740.1,6140.4880231955885,95.5,0.12,19.12403509174918,0.3221511604521137
