,Year,Country,Undernourishment,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri,GDP_normalized,Agri_land_cap_normalized,Basic_water_normalized,Eating_disorder_normalized,Employed_%_normalized,CO2_agri_normalized
0,2013,Albania,3.900000095367432,11361.3,4088.797116042907,92.6,0.14,15.527752025974348,0.4150593784216289,-0.8615541394686829,-0.5191399548559622,-1.4568342593881582,-0.9392168183588766,1.963301120703147,-0.5589374039265045
1,2013,Algeria,3.0999999046325684,11319.1,32233.07856060084,93.0,0.22,2.991599190941532,0.107725557885558,-0.8640142696507241,1.5344180191536678,-1.3165465158915186,-0.40329639298286163,-0.5987733031513576,-0.7632909217156826
2,2013,Austria,2.5,52997.8,5574.6768626366575,99.0,0.61,2.195135662586308,1.420583672271374,1.5657257260423747,-0.4107221859373309,0.7877696365580472,2.2093156807252115,-0.7615504216489316,0.10965945375827399
3,2013,Azerbaijan,2.5,14651.7,1424.0101211799051,89.8,0.15,17.872206039401128,2.634867190422746,-0.6697339415779479,-0.7135771300639374,-2.438848463864621,-0.8722267651868748,2.4424485708616928,0.9170652514502604
4,2013,Bangladesh,15.100000381469728,3965.4,607.3523490959182,96.8,0.11,17.144373269981905,0.6658978228066393,-1.2927123577947481,-0.7731648684541919,0.016187047326538802,-1.1401869778748823,2.2936978538027057,-0.39214899639806655
5,2013,Belgium,2.5,48204.6,1937.4201632274248,99.0,0.47,0.5523126754077996,4.750208236927348,1.2862969111475682,-0.6761159751980643,0.7877696365580472,1.271454936317185,-1.0973021322222094,2.3236054865049365
6,2013,Canada,2.5,46704.8,4470.976981990528,99.0,0.47,0.8895943783265303,3.6353779861859192,1.1988631849147322,-0.4912540586475719,0.7877696365580472,1.271454936317185,-1.0283702329343118,1.5823285158174105
7,2013,Chile,3.0999999046325684,23927.4,25504.6919126823,99.0,0.37,4.198449171590926,0.1825502726729085,-0.1289891659959245,1.0434787823402596,0.7877696365580472,0.6015544045971665,-0.3521235127778485,-0.713538201179765
8,2013,Colombia,8.100000381469727,13390.5,387.34938002161584,95.8,0.22,7.43568430246958,4.854414214325375,-0.7432580218052135,-0.7892174670020822,-0.3345323114150555,-0.40329639298286163,0.30948594922946276,2.392894502659431
9,2013,Costa Rica,4.099999904632568,18233.0,229.4969476673996,98.9,0.24,4.2189438416772616,7.01277221354406,-0.460955168569776,-0.800735228498903,0.7526977006838899,-0.2693162866388579,-0.34793491754097494,3.82803772581467
10,2013,Cyprus,4.699999809265137,33384.5,30781.577562406783,99.0,0.44,0.9911125953564492,0.1869071286566316,0.42233067155345205,1.4285087084115844,0.7877696365580472,1.0704847768011796,-1.007622462000887,-0.7106412247089631
11,2013,Czechia,2.5,33661.5,15771.930535494685,99.0,0.2,1.4131732884309862,0.6379948493741391,0.4384789194308328,0.33332422484590624,0.7877696365580472,-0.5372764993268653,-0.9213638688527007,-0.4107023426186794
12,2013,Denmark,2.5,51479.3,4661.101722692116,99.0,0.51,1.2102014986470744,1.5885083713850838,1.477201847335506,-0.4773815361568705,0.7877696365580472,1.5394151490051928,-0.9628461990550009,0.22131655328516547
13,2013,Dominican Republic,8.899999618530273,13702.3,2340.711683833544,95.5,0.22,4.267091524414359,0.9042091836734694,-0.7250810409815048,-0.6466896592474289,-0.4397481190375328,-0.40329639298286163,-0.33809474184019306,-0.23369014264315663
14,2013,Ecuador,9.0,11818.6,26377.0213069919,91.7,0.29,11.358345164750562,0.095004698704263,-0.8348949562400683,1.1071286213733273,-1.7724816822555902,0.06563397922115134,1.1111791960299953,-0.7717493215054099
15,2013,El Salvador,10.5,7892.5,11989.959904731446,93.3,0.2,8.219035326095629,0.081112737920937,-1.0637745085555357,0.05737132970543237,-1.2113307082690412,-0.5372764993268653,0.469583201468115,-0.7809864144166626
16,2013,Greece,2.5,27810.9,6659.838307356426,99.0,0.48,4.478850660690782,1.1426813924227597,0.09740693736800357,-0.3315429771065085,0.7877696365580472,1.338444989489187,-0.2948164989684896,-0.0751243373312968
17,2013,Guatemala,17.600000381469727,7734.1,2385.703195747117,91.4,0.19,11.417411112887228,0.3435912597091946,-1.0730087412767526,-0.6434068368298492,-1.8776974898780674,-0.6042665524988673,1.1232507906438363,-0.6064582444353231
18,2013,Honduras,14.100000381469728,5113.5,3832.460990047876,92.2,0.17,13.085308399454274,0.2740213523131672,-1.2257816596430486,-0.5378436157257841,-1.597122002884793,-0.7382466588428709,1.4641270575307475,-0.6527169193961447
19,2013,Hungary,2.5,25343.7,5345.781129260418,99.0,0.19,1.8911069366721704,0.8291801407646947,-0.0464232328958006,-0.4274236483433803,0.7877696365580472,-0.6042665524988673,-0.8236862485674492,-0.28357872577409704
20,2013,Ireland,2.5,53435.6,4056.396960973916,97.3,0.46,2.423329937474894,1.9918812092725136,1.5912481192579602,-0.5215040442334844,0.19154672669733594,1.2044648831451834,-0.7149132496986792,0.48952868255593496
21,2013,Italy,2.5,40268.1,2265.367886769766,99.0,0.58,1.3282302334435847,2.713382245047689,0.823623375844925,-0.6521871474514636,0.7877696365580472,2.0083455212092054,-0.9387240934392349,0.969271766125509
22,2013,Jamaica,10.100000381469728,9427.7,1553.1480982680998,90.1,0.2,7.078367515417794,1.9126126126126128,-0.9742770712221246,-0.704154529486291,-2.333632656242144,-0.5372764993268653,0.236459382517471,0.43682111997981754
23,2013,Latvia,2.5,24715.7,26675.46883786889,98.4,0.17,3.5178366219222963,0.1350687442713107,-0.08303370100769626,1.1289049565788736,0.5773380213130926,-0.7382466588428709,-0.4912236042498774,-0.7451097911269716
