,Year,Country,y_ratio,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri
0,2012,Afghanistan,1.3124620060790273,2075.5,12165.700759446518,53.4,0.11,7.949195956610135,0.026955948298601953
1,2012,Albania,1.7169712793733682,11228.0,4122.383274921751,92.2,0.13,17.884959666667925,0.3885790393740115
2,2012,Argentina,1.7102854065697362,24118.9,29874.587081250836,98.8,0.34,0.1589119895712121,0.153689337744575
3,2012,Armenia,1.5808510638297872,10397.7,5835.1613718558,98.8,0.13,15.1568229955978,0.3415329768270945
4,2012,Australia,1.7938413361169103,46350.9,168999.65560528592,99.0,1.1,1.3845427199637863,0.10402763281629447
5,2012,Austria,1.9189327860441252,53297.4,3217.038353467267,99.0,0.61,2.245998990852988,2.459162035682948
6,2012,Azerbaijan,1.6533546325878594,14027.5,5146.748664066686,88.5,0.14,18.06652013171739,0.7350208669756517
7,2012,Barbados,1.533929510783798,15338.7,46951.33557515386,98.4,0.26,1.2248940775049524,0.10953453453453454
8,2012,Belgium,1.9080636877247046,48210.9,4621.412665629563,99.0,0.47,0.4782886971143459,1.9985555338668748
9,2012,Bosnia and Herzegovina,1.583117555670637,11257.8,5980.628975759035,96.5,0.14,4.640202475913821,1.0266233766233768
10,2012,Brazil,1.7252922422954304,15478.8,11705.50279331403,97.1,0.24,5.105052456529894,0.21361367102802778
11,2012,Bulgaria,1.448329853862213,18911.6,17.72564438512262,99.0,0.15,2.5763542358222455,371.8538461538461
12,2012,Cambodia,1.4797258709308967,3022.6,39086.07949390459,66.3,0.08,16.189482406968015,0.009435529937165706
13,2012,Canada,1.804257528556594,46126.5,437.7465778623649,99.0,0.47,0.8752841186331883,37.23837247334336
14,2012,Chile,1.5820416889363977,23389.0,9054.410368521112,98.8,0.37,4.374846267548488,0.5057695969533482
15,2012,Colombia,1.5516860143725815,12852.6,9249.4694169103,95.5,0.21,7.722980109873043,0.18707529283676227
16,2012,Costa Rica,1.517075773745998,17994.5,3865.1852398558617,98.6,0.23,4.347608139329262,0.40066225165562913
17,2012,Cyprus,1.5637860082304527,35642.6,1029.9142061202806,99.0,0.44,0.9885061927005602,6.212147134302823
18,2012,Czechia,1.663930220625962,33688.1,3332.1891767194625,99.0,0.2,1.4096185894703694,3.1563378324337967
19,2012,Denmark,1.7147995889003083,51216.3,29699.287584239915,99.0,0.51,1.2416526448744758,0.2390782525204033
20,2012,Dominican Republic,1.4477693144722525,13219.7,2642.2537457773283,95.2,0.22,4.392938174081827,0.8100228658536585
21,2012,Ecuador,1.476271186440678,11431.4,1519.959255786072,90.9,0.28,11.765021019963747,1.5796768707482995
22,2012,El Salvador,1.4706552706552707,7755.0,12034.296036404432,92.1,0.2,8.60382672306579,0.08621401643821018
23,2012,Estonia,1.652820512820513,28997.3,203618.14833093126,99.0,0.18,2.086515417979493,0.06623858659342291
24,2012,Finland,1.7052793439261917,45952.2,1765.3569339707751,99.0,0.52,1.899323867740249,5.35924259859818
25,2012,France,1.803030303030303,42790.6,359.4946742368789,99.0,0.5,1.1796730185835353,15.576211106734936
26,2012,Georgia,1.4858638743455497,11295.8,70974.6839211761,95.4,0.12,19.16794800911494,0.028608276015087645
27,2012,Germany,1.7907928388746803,49872.4,300.718889809584,99.0,0.46,0.7540844170657562,33.42854209445585
28,2012,Greece,1.76126359399275,28322.6,6755.328458947536,99.0,0.48,4.456856472876331,1.2554029932720034
29,2012,Guatemala,1.4570917759237187,7590.8,2494.4118746043914,91.0,0.19,12.791899087760711,0.3034264772285753
30,2012,Haiti,1.169179229480737,2974.0,3277.753942523414,63.2,0.12,11.80080191811039,0.06738095238095237
31,2012,Honduras,1.5100171722953635,5065.5,2048.4470456764343,91.7,0.17,13.335633303443753,0.5137853107344632
32,2012,Hungary,1.5486361296963458,24825.6,5411.398587014691,99.0,0.18,1.964627619644573,0.8759460472086924
33,2012,Iceland,1.7503867973182052,48440.3,1735034.1786378906,99.0,0.48,2.850676509786821,0.0061893805309734505
34,2012,India,1.3664036076662909,4583.2,1419.2195184746383,86.7,0.11,14.230922444874599,1.093055076207123
35,2012,Indonesia,1.5374226223972989,9080.1,182.4499402121246,86.1,0.1,16.419527831629512,11.505140083829694
36,2012,Ireland,1.8953182535507627,53045.7,4062.7585744452444,97.3,0.46,2.3578191827219266,2.0426236513193037
37,2012,Israel,1.9854178351093663,35417.3,691.0094963247277,99.0,0.39,0.4731221994220314,14.212276700874192
38,2012,Italy,1.8523316062176165,41501.7,2292.7725409985273,99.0,0.58,1.3917608620036503,2.9386481171243353
39,2012,Jamaica,1.429637526652452,9433.8,1562.2097245444259,90.5,0.2,7.0792026256382545,1.7822072072072073
40,2012,Japan,1.4688172043010752,38735.9,354.21847179950646,98.8,0.42,1.8167973654181606,28.70982633545834
41,2012,Kazakhstan,1.716909778498109,22702.6,129547.68351510487,94.3,0.16,12.970163966583815,0.11328216260752282
42,2012,Latvia,1.637513171759747,23970.4,26365.16453699291,98.4,0.17,3.54197015202381,0.13783684692942255
43,2012,Liberia,1.287976539589443,1611.3,4285.84347560318,70.8,0.07,4.467797416713455,0.05433065535295179
44,2012,Lithuania,1.7480314960629921,27330.9,8996.70044369494,95.2,0.17,3.6847726904829687,0.5235401459854014
45,2012,Luxembourg,1.8002033553634977,112137.0,53540.04389145812,99.0,0.61,0.5764285916116454,0.38230947857293646
46,2012,Madagascar,1.2601674641148326,1538.5,58.80973604980436,46.2,0.08,31.467536059112245,2.0910059351696852
47,2012,Malaysia,1.580098414434117,22132.2,633.3383674731725,97.0,0.15,5.678028112517498,11.690005431830526
48,2012,Malta,1.7409886714727085,33965.6,720776.4651773671,99.0,0.42,0.42839294562230773,0.009081340657171989
49,2012,Mauritius,1.6359743040685224,18015.0,326249.37275077804,99.0,0.13,3.1016626392413498,0.009693116517911726
50,2012,Mexico,1.7035010940919038,18594.9,8570.685989138612,96.7,0.25,5.64740519139084,0.4937718879337791
51,2012,Mongolia,1.4350935093509352,9476.9,4485.435257149614,78.1,0.12,13.097329342818242,2.7648776637726913
52,2012,Montenegro,1.7726558407543216,16802.4,164.5548790521639,96.7,0.16,1.6901223936823708,21.485436893203886
53,2012,Morocco,1.8282442748091603,6625.1,154.323318121005,79.6,0.18,12.393263465281075,11.102144249512671
54,2012,Namibia,1.3390607101947307,9626.5,519724.3423819368,81.3,0.15,7.759193758636982,0.0029412305328136946
55,2012,Netherlands,1.6348884381338742,51860.1,51.810848715299386,99.0,0.41,1.2216759916268904,189.3103448275862
56,2012,New Zealand,1.6511017838405038,38780.6,17521.017298569393,99.0,0.65,3.370287136826944,0.4615797271751903
57,2012,Nicaragua,1.4428733031674208,5083.3,64870.54807915714,81.2,0.16,15.440323742630627,0.01171377773196939
58,2012,North Macedonia,1.5170807453416149,13727.8,24601.37860282682,97.3,0.14,5.259237689909819,0.17117381932196749
59,2012,Norway,1.8003080082135523,61990.7,3673.323339415316,99.0,0.49,1.146794114385418,2.4076668295596457
60,2012,Panama,1.5557432432432432,25196.3,2632.9782649341555,92.2,0.27,7.165689598701546,0.9838839645447222
61,2012,Paraguay,1.4873208379272327,10493.8,17456.018911439834,93.0,0.22,12.83124997080126,0.04614876799828715
62,2012,Peru,1.512126339537507,11176.1,763.5530669381523,88.5,0.31,14.699870775506248,2.3986240568131376
63,2012,Philippines,1.4650491045638359,6351.3,2581.995510048899,90.8,0.1,12.439470834245423,0.35221945908130037
64,2012,Poland,1.7830578512396693,25457.2,3251.625708216113,98.7,0.18,5.127866060854528,2.6283346741753824
65,2012,Portugal,1.793733681462141,30156.7,13802.560213894558,99.0,0.45,4.668236954495346,0.3439947690825246
66,2012,Romania,1.7408759124087592,21311.1,1811.6011170158436,99.0,0.16,12.639981696174893,2.2890997459345437
67,2012,Rwanda,1.2840444184687316,1682.2,15574.082520890704,54.8,0.09,29.651890467074416,0.004370017540933918
68,2012,Samoa,1.6823596142938173,5902.4,726271.755628302,90.7,0.1,0.9789041139357657,0.0013616835360081554
69,2012,Saudi Arabia,1.7664864864864864,48024.4,622.7871220027257,99.0,0.28,1.6417477044858249,31.016726055085282
70,2012,Serbia,1.4193211488250652,14894.2,193895.6944182827,92.2,0.14,5.224809163550003,0.02522368686723009
71,2012,Slovenia,1.6415584415584417,32613.5,6072.916793216138,99.0,0.19,3.7481807247943824,1.259262222933504
72,2012,South Africa,1.6084142394822007,13946.9,655.3900560751625,90.6,0.17,1.3302396661459028,13.317709235834345
73,2012,Spain,1.6491410723581468,35769.5,129.9936723196494,99.0,0.64,1.5795360522668949,45.59799931348993
74,2012,Sri Lanka,1.4398876404494383,10712.4,1476.4325998655797,88.0,0.11,12.269615148592969,0.5211281543790203
75,2012,Sweden,1.631687242798354,48300.8,23012.07285018669,99.0,0.53,0.999893427695407,0.21299635701275046
76,2012,Switzerland,1.7202441505595116,66440.3,67.43251690870362,99.0,0.54,1.8452159001878872,78.25
77,2012,Thailand,1.4689984101748808,15424.5,1462.6458931049676,98.4,0.13,24.56443755619438,2.7239266276960286
78,2012,Trinidad and Tobago,1.5961538461538463,29836.8,107189.54442770524,96.5,0.29,1.7219481653224906,0.31603191120360735
79,2012,Tunisia,1.8520742358078603,10743.8,38072.30261879951,93.0,0.21,5.070640314785859,0.06369954233963726
80,2012,Uganda,1.3736591179976163,1996.9,4119.657278774954,43.2,0.09,20.290291590829515,0.025475872725995642
81,2012,Ukraine,1.6567398119122256,12985.1,5552.010564396326,94.2,0.13,8.85030436616482,1.2045332065303533
82,2012,Uruguay,1.6783216783216783,20885.1,161.29151591828884,98.7,0.35,3.9797571748829155,15.7651376146789
83,2012,Uzbekistan,1.689636462289745,5472.8,32714.063512435256,96.8,0.11,11.041645854141615,0.11925452299643974
