,Year,Country,Undernourishment,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri
0,2014,Afghanistan,24.200000762939453,2102.4,11360.229738546304,58.7,0.12,8.463544959839744,0.020506462674756
1,2014,Albania,4.400000095367432,11586.8,4054.4389803981417,93.0,0.14,14.874320988762586,0.4786722189578384
2,2014,Algeria,2.900000095367432,11512.7,10644.160954121306,93.2,0.22,2.309647533913025,0.34401535082426205
3,2014,Angola,14.199999809265137,8240.3,20315.012663976766,53.5,0.14,8.720743481850898,0.06083433664190077
4,2014,Argentina,2.5,23550.1,28147.25945052886,98.9,0.35,0.1412559101718609,0.15719726796036093
5,2014,Armenia,2.900000095367432,11019.8,5770.835972906222,99.0,0.13,13.554614522784107,0.333432498363777
6,2014,Australia,2.5,47232.9,158677.8438395713,99.0,1.11,1.3710423773498581,0.10663180413596388
7,2014,Austria,2.5,52932.9,3150.476396092722,99.0,0.62,2.3090106387485845,2.363900965293641
8,2014,Azerbaijan,2.5,14867.9,5017.77054743217,91.2,0.15,17.79711067646747,0.7752059877979748
9,2014,Barbados,4.199999809265137,15043.7,421.311331519354,98.5,0.25,1.184938119898183,10.508333333333333
10,2014,Belgium,2.5,48748.6,1186.4123569396388,99.0,0.47,0.4932438303304675,7.276196199203786
11,2014,Belize,7.800000190734863,7239.3,4527.883271169269,96.5,0.2,6.683155708245842,0.29312499999999997
12,2014,Bosnia and Herzegovina,2.5,12066.6,6194.527105148436,96.2,0.14,3.982877029016348,0.8953175707000465
13,2014,Brazil,2.5999999046325684,15749.5,11575.905799017008,97.6,0.24,4.6566007382463805,0.23769051634007532
14,2014,Bulgaria,3.400000095367432,19202.8,6868.950851600851,99.0,0.16,2.883565417475428,0.9085191882660236
15,2014,Burkina Faso,12.0,1907.9,6904.912592552157,50.7,0.09,9.53434061013202,0.02397265914518653
16,2014,Cambodia,9.600000381469728,3364.3,3571.3102603776515,67.8,0.08,25.65790343726992,0.11904674610449129
17,2014,Cameroon,5.5,3470.8,4298.590406233988,63.6,0.11,17.681914362027022,0.07025641025641025
18,2014,Canada,2.5,47564.6,16238.349006318354,99.0,0.47,0.8555745038321192,0.9852071210263672
19,2014,Chile,3.0999999046325684,24099.3,8875.065262801307,99.0,0.38,4.1841564217019815,0.4921833362941908
20,2014,Colombia,7.099999904632568,13852.2,9535.210872968295,96.0,0.22,7.361538698034828,0.1980564791100532
21,2014,Costa Rica,4.300000190734863,18669.1,3707.727630078054,99.0,0.24,4.794229457875168,0.4357705286839145
22,2014,Cyprus,2.799999952316284,33136.5,945.7631148913865,99.0,0.43,1.3946057309877575,6.377316938887869
23,2014,Czechia,2.5,34386.7,3319.767231064863,99.0,0.2,1.2908663723819538,2.960608646188851
24,2014,Denmark,2.5,52048.3,4683.152904761997,99.0,0.51,1.1637126449829889,1.4153118168339283
25,2014,Dominican Republic,8.300000190734863,14499.6,2313.780510767048,95.8,0.22,4.447849531862784,0.9269132653061224
26,2014,Ecuador,8.899999618530273,12078.5,3432.207661163934,92.4,0.29,10.751812080267646,0.7891689497716895
27,2014,El Salvador,10.600000381469728,7990.4,1956.911412706088,94.4,0.2,7.881449197823585,0.4993100089292962
28,2014,Estonia,2.5,30494.1,7399.680765312362,99.0,0.18,1.8291798130023178,1.9389117043121151
29,2014,Fiji,5.199999809265137,12058.0,3650.5406562663384,94.3,0.1,16.061686404361723,0.3932975023711666
