,Year,Country,Undernourishment,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri,GDP_normalized,Agri_land_cap_normalized,Basic_water_normalized,Eating_disorder_normalized,Employed_%_normalized,CO2_agri_normalized
0,2013,Albania,3.900000095367432,11361.3,4088.797116042907,92.6,0.14,15.527752025974348,0.4150593784216289,-0.8566797724317508,-0.5393629862778129,-1.4569529519882383,-0.9479821562907645,1.9857090513245457,-0.5910821758591118
1,2013,Algeria,3.0999999046325684,11319.1,32233.07856060084,93.0,0.22,2.991599190941532,0.107725557885558,-0.8590916190358738,1.440425750278872,-1.3169849201336659,-0.42042820219368965,-0.5991901638644206,-0.7928562757728845
2,2013,Austria,2.5,52997.8,5574.6768626366575,99.0,0.61,2.195135662586308,1.420583672271374,1.5229612496671396,-0.4348398705614289,0.7825355576848888,2.1513973240295505,-0.7634174173499325,0.0690754305477358
3,2013,Azerbaijan,2.5,14651.7,1424.0101211799051,89.8,0.15,17.872206039401128,2.634867190422746,-0.6686243206259027,-0.7268154635473165,-2.4367291749702296,-0.8820379120286302,2.4691250896499626,0.8662898844850176
4,2013,Bangladesh,15.100000381469728,3965.4,607.3523490959182,96.8,0.11,17.144373269981905,0.6658978228066393,-1.279375893271427,-0.7842626526673637,0.012711382484751092,-1.1458148890771678,2.319049194818577,-0.4263990269258946
5,2013,Belgium,2.5,48204.6,1937.4201632274248,99.0,0.47,0.5523126754077996,4.750208236927348,1.249016625428205,-0.6907000125103772,0.7825355576848888,1.2281779043596692,-1.1021602442868381,2.2550763022135842
6,2013,Canada,2.5,46704.8,4470.976981990528,99.0,0.47,0.8895943783265303,3.6353779861859192,1.1632989112845111,-0.512478825265127,0.7825355576848888,1.2281779043596692,-1.032614250340766,1.5231559752946786
7,2013,Chile,3.0999999046325684,23927.4,25504.6919126823,99.0,0.37,4.198449171590926,0.1825502726729085,-0.1384924356527979,0.9671223501907075,0.7825355576848888,0.5687354617383257,-0.3503430407571128,-0.7437315505760674
8,2013,Colombia,8.100000381469727,13390.5,387.34938002161584,95.8,0.22,7.43568430246958,4.854414214325375,-0.7407053854865687,-0.7997385993899812,-0.3372086971516747,-0.42042820219368965,0.3171605115133937,2.3234907294264655
9,2013,Costa Rica,4.099999904632568,18233.0,229.4969476673996,98.9,0.24,4.2189438416772616,7.01277221354406,-0.46394313002528176,-0.8108426124104801,0.7475435497212483,-0.288539713669421,-0.346117130518233,3.740519098853605
10,2013,Cyprus,4.699999809265137,33384.5,30781.577562406783,99.0,0.44,0.9911125953564492,0.1869071286566316,0.40200696055224844,1.3383209822823512,0.7825355576848888,1.0303451715732663,-1.0116816434252944,-0.7408711407030626
11,2013,Czechia,2.5,33661.5,15771.930535494685,99.0,0.2,1.4131732884309862,0.6379948493741391,0.41783827593950224,0.28247842392426326,0.7825355576848888,-0.5523166907179583,-0.9246545970381699,-0.4447181866572912
12,2013,Denmark,2.5,51479.3,4661.101722692116,99.0,0.51,1.2102014986470744,1.5885083713850838,1.4361747788528982,-0.49910464049784997,0.7825355576848888,1.4919548814082069,-0.9665064815056075,0.17932315713330746
13,2013,Dominican Republic,8.899999618530273,13702.3,2340.711683833544,95.5,0.22,4.267091524414359,0.9042091836734694,-0.7228851539423603,-0.6623307677095226,-0.4421847210426014,-0.42042820219368965,-0.33618929149472576,-0.2699402933759783
14,2013,Ecuador,9.0,11818.6,26377.0213069919,91.7,0.29,11.358345164750562,0.095004698704263,-0.8305438138519992,1.0284857185475642,-1.7718810236610185,0.041181507641250725,1.1259958151184044,-0.8012079108352366
15,2013,El Salvador,10.5,7892.5,11989.959904731446,93.3,0.2,8.219035326095629,0.081112737920937,-1.0549312771801476,0.016438487124915767,-1.212008896242739,-0.5523166907179583,0.4786840245747392,-0.8103284100962804
16,2013,Greece,2.5,27810.9,6659.838307356426,99.0,0.48,4.478850660690782,1.1426813924227597,0.08346031996597507,-0.35850498847058776,0.7825355576848888,1.2941221486218035,-0.2925254950834094,-0.11337595824713444
17,2013,Guatemala,17.600000381469727,7734.1,2385.703195747117,91.4,0.19,11.417411112887228,0.3435912597091946,-1.063984274860079,-0.659165872961628,-1.8768570475519453,-0.6182609349800927,1.138174952130534,-0.6380031925587354
18,2013,Honduras,14.100000381469728,5113.5,3832.460990047876,92.2,0.17,13.085308399454274,0.2740213523131672,-1.2137588059208635,-0.5573947621473535,-1.5969209838428056,-0.7501494235043614,1.48208798859374,-0.683677975182506
19,2013,Hungary,2.5,25343.7,5345.781129260418,99.0,0.19,1.8911069366721704,0.8291801407646947,-0.05754697723053241,-0.4509413722351121,0.7825355576848888,-0.6182609349800927,-0.8261067946534837,-0.319199166265085
20,2013,Ireland,2.5,53435.6,4056.396960973916,97.3,0.46,2.423329937474894,1.9918812092725136,1.5479827293658388,-0.5416421513080035,0.187671422302964,1.1622336600975351,-0.7163647681175672,0.44414982395583424
21,2013,Italy,2.5,40268.1,2265.367886769766,99.0,0.58,1.3282302334435847,2.713382245047689,0.7954237208399748,-0.6676307715874018,0.7825355576848888,1.9535645912431472,-0.942169478921158,0.917837431217738
22,2013,Jamaica,10.100000381469728,9427.7,1553.1480982680998,90.1,0.2,7.078367515417794,1.9126126126126128,-0.9671903552216204,-0.7177313477206408,-2.331753151079303,-0.5523166907179583,0.2434833719173537,0.3921075537150224
23,2013,Latvia,2.5,24715.7,26675.46883786889,98.4,0.17,3.5178366219222963,0.1350687442713107,-0.09343891247672513,1.0494797901584305,0.5725835099030353,-0.7501494235043614,-0.49068233532679295,-0.7749046334442387
