,Year,Country,y_ratio,GDP,Agri_land_cap,Basic_water,Fat,Protein,Carbohydrate
0,2015,Afghanistan,1.3505402160864346,2068.3,11015.993676918428,61.3,39.7,58.6,1658.3
1,2015,Albania,1.712793733681462,11878.5,191270.89067587742,93.4,112.3,111.3,1824.1000000000001
2,2015,Algeria,1.9121432568550643,11697.0,295.58482904509214,93.4,97.0,90.7,2181.2
3,2015,Angola,1.4782608695652173,8036.6,137.28115884233395,99.0,59.9,54.3,1691.7
4,2015,Argentina,1.7789133942980098,18594.5,27182.186702503346,99.0,118.7,103.7,1823.8999999999999
5,2015,Armenia,1.645367412140575,23933.9,5731.212393939072,54.3,95.3,97.0,1844.3000000000002
6,2015,Australia,1.7769070010449322,11321.3,145458.69804313782,96.7,159.0,107.7,1539.2
7,2015,Austria,1.881869542886492,47569.3,3132.335876004921,99.0,162.3,107.3,1774.1000000000001
8,2015,Azerbaijan,1.6566684520621318,52873.9,4956.799730970625,99.0,64.0,90.3,2155.8
9,2015,Bangladesh,1.429617117117117,14852.6,84.98857978758589,99.0,32.3,57.0,2020.3000000000002
10,2015,Barbados,1.5477439664218258,35859.3,138437.65223760807,99.0,94.0,87.0,1756.0
11,2015,Belarus,1.7162447257383966,48110.7,12864.132387738913,92.4,130.0,89.0,1728.0
12,2015,Belgium,1.9547790339157245,4381.1,8348.952522831685,98.9,164.0,98.3,1934.8
13,2015,Belize,1.5218874360432064,15388.6,138862.25985382043,99.0,70.4,68.7,1768.6000000000001
14,2015,Benin,1.5867287543655413,18362.7,2057.4960462225563,97.1,51.0,67.0,1999.0
15,2015,Bosnia and Herzegovina,1.6950207468879668,49456.4,25002.318215458155,98.5,83.6,96.0,2131.6
16,2015,Botswana,1.4337416481069043,7292.8,801.6160579728734,96.5,68.7,72.7,1665.8999999999999
17,2015,Brazil,1.7221633085896075,2946.0,11514.460480997473,99.0,124.0,93.0,1760.0
18,2015,Bulgaria,1.4383490073145246,77842.8,15.278331617298903,97.2,90.7,83.7,1601.8999999999999
