,Year,Country,Undernourishment,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri
272,2016,Chile,3.0999999046325684,24430.2,832.5372649413436,99.0,0.39,4.22488856104254,5.566853396013426
273,2016,Colombia,6.800000190734863,14194.5,3267.625182231266,96.6,0.23,7.314597797598458,0.5923210814519305
275,2016,Cyprus,2.5,36509.1,15189.853946670151,99.0,0.44,1.1304156849876388,0.4147960618846695
277,2016,Denmark,2.5,54185.0,6107.1418191088405,99.0,0.52,1.1177925483765123,1.0610951834862383
278,2016,Dominican Republic,6.800000190734863,16166.6,16021.753962256022,96.4,0.23,3.6595074813387294,0.1479380515036917
279,2016,Ecuador,9.699999809265137,11551.6,1591.826871621476,93.8,0.3,12.223745938343162,1.5048569578301778
280,2016,El Salvador,9.899999618530272,8309.9,3821.503532727504,96.6,0.2,8.013908447851266,0.2736105393165912
281,2016,Estonia,2.5,32008.9,41898.75177268332,99.0,0.18,1.9017749240983908,0.3184735315445975
283,2016,Fiji,6.300000190734863,12820.8,11496.94064460813,94.3,0.11,7.1568742076510246,0.1256231306081754
284,2016,Finland,2.5,46206.8,4138.083574372912,99.0,0.52,1.715112863273717,2.076
288,2016,Greece,2.5,28239.9,5780.399640778684,99.0,0.48,4.2817914679379525,1.163184485006519
289,2016,Guatemala,16.399999618530273,8206.0,2325.2619326761896,92.5,0.19,11.469903235093026,0.4386151452282158
290,2016,Honduras,13.800000190734863,5395.6,3695.4763529423694,93.8,0.17,10.366922185953005,0.2712492702860479
291,2016,Hungary,2.5,28218.3,5415.786165650054,99.0,0.19,2.246905301667082,0.8911775842483908
294,2016,Ireland,2.5,72150.0,3986.549654051821,97.4,0.48,2.3923770015269,2.14508547008547
296,2016,Italy,2.5,40837.7,2111.993412532317,99.0,0.58,1.4572292980631971,2.79473150171714
297,2016,Jamaica,9.300000190734863,9553.1,1527.7461408926029,90.6,0.2,6.721738932958783,1.8385135135135136
299,2016,Kuwait,2.5,54709.0,14162.738048483874,99.0,0.37,0.0661635407047301,1.799768022840828
300,2016,Latvia,2.5,27509.2,759.7764231245552,98.6,0.17,3.478053858018048,4.806666666666667
301,2016,Lithuania,2.5,31925.8,9517.036360270007,97.1,0.18,3.757533599464277,0.4854909090909091
306,2016,Mauritius,5.699999809265137,20646.9,10024.804456877491,99.0,0.14,3.0709978048451902,0.3435573122529644
307,2016,Mexico,5.800000190734863,19539.3,3340.620249258709,98.5,0.25,5.440746683801363,1.1718113638018497
309,2016,Montenegro,2.5,18797.9,4076.3880364308247,97.6,0.16,2.7675438526569858,0.7880328509972625
312,2016,New Zealand,2.5,41620.3,18395.605315430654,99.0,0.66,3.5145028239432614,0.4002450122506125
314,2016,Norway,2.5,63104.1,3456.5173920909547,99.0,0.5,1.0465153924527943,2.46831955922865
316,2016,Panama,7.800000190734863,29332.4,26291.32542314692,93.2,0.29,6.738099608305324,0.0994441303938194
317,2016,Paraguay,7.699999809265137,12170.8,54285.42679582017,98.1,0.22,9.81909087180383,0.0195222047072892
318,2016,Peru,6.900000095367432,12403.7,715.578291378824,90.9,0.3,15.05612293796722,2.382286488929056
319,2016,Philippines,12.100000381469728,7705.1,2357.910497911827,92.4,0.1,10.672670008597793,0.5000900053184961
320,2016,Poland,2.5,28682.7,3305.14814465788,99.0,0.2,4.495488456988587,2.583163427843262
321,2016,Portugal,2.5,31847.5,13920.821574464871,99.0,0.46,3.0833641630365096,0.3510365938500069
322,2016,Romania,2.5,25145.0,1828.1363973433397,99.0,0.17,9.86007472110922,2.048946817241084
323,2016,Saudi Arabia,3.700000047683716,48625.8,5157.94192503114,99.0,0.29,1.790324726314506,3.818875663762823
326,2016,Slovenia,2.5,34853.0,42801.9409846182,99.0,0.2,2.198818342449276,0.1624802883532327
330,2016,Suriname,8.199999809265137,18180.6,10931.11316856765,96.2,0.24,2.5313206451601484,0.3685949342488825
331,2016,Sweden,2.5,51334.4,3071.288205178465,99.0,0.55,0.9351562824858838,1.4320802934205472
332,2016,Switzerland,2.5,68663.2,1458.248681520039,99.0,0.54,1.7995170595405805,3.207283142389525
333,2016,Thailand,7.5,16782.1,3278.174554661219,99.0,0.13,17.03116072375135,1.2535824856258293
335,2016,Tunisia,2.5,11114.5,8583.731232874337,95.4,0.21,4.444785721653561,0.2989590848191281
336,2016,Ukraine,2.5,11536.3,9284.624750870582,93.7,0.13,5.6785717704288805,0.5636661447669516
337,2016,United Arab Emirates,2.900000095367432,66510.9,15239.117720109283,99.0,0.31,0.1075422164892011,1.5048193869038855
339,2016,Uzbekistan,2.5,6663.9,30641.10227438329,97.7,0.12,11.598271521366142,0.1122772236119616
341,2017,Albania,4.099999904632568,12771.0,4071.4708465419326,94.1,0.14,15.73344003073329,0.4515103284477906
343,2017,Armenia,3.0999999046325684,12115.1,5691.749052309011,99.0,0.13,10.76854742394107,0.3303502177674363
345,2017,Austria,2.5,54173.0,3009.8066849268844,99.0,0.61,1.898297736187999,2.621806510913049
346,2017,Azerbaijan,2.5,14121.4,4852.56136014324,93.9,0.15,17.804040012529814,0.7688121402407117
347,2017,Bangladesh,12.5,4894.6,83.10088464930901,97.4,0.12,15.463252300347714,6.099773926149209
349,2017,Belarus,2.5,18356.1,5322.112163795327,96.5,0.14,5.545609298733693,1.1952631662663635
350,2017,Belgium,2.5,50442.3,1951.005591014586,99.0,0.48,0.4725671800928777,4.4635547576301615
353,2017,Brazil,2.5,14524.6,11397.499956503712,98.5,0.24,4.067539555062991,0.2113985813830375
357,2017,Chile,3.0,24411.5,8530.930184864072,99.0,0.39,4.145679073303954,0.5333883353430222
358,2017,Colombia,7.099999904632568,14171.3,10120.457550426863,96.9,0.23,7.516533890396379,0.174338875532839
359,2017,Costa Rica,3.0999999046325684,20347.0,3594.982176605646,99.0,0.25,5.178693543678681,0.4670974992975555
360,2017,Cyprus,2.5,38288.0,1029.2578103476776,99.0,0.44,0.8134374854304327,6.195849118761323
361,2017,Czechia,2.5,38824.9,3308.889588904535,99.0,0.2,1.3751767685690637,3.0563192274921898
362,2017,Denmark,2.5,55356.7,29110.59601620787,99.0,0.52,1.0169955150457664,0.2082039911308204
364,2017,Dominican Republic,6.400000095367432,16735.4,2502.874743736654,96.5,0.23,3.992452852443011,0.9127427507315776
365,2017,Ecuador,10.699999809265137,11617.9,1447.0947175621418,94.3,0.3,12.813466690846472,1.6169617126389462
366,2017,El Salvador,9.100000381469728,8454.1,64706.22799432196,97.2,0.21,8.002286743338107,0.0145542022684969
367,2017,Estonia,2.5,33821.9,42368.09614147154,99.0,0.19,1.752932607441778,0.3361001788908766
368,2017,Finland,2.5,47570.1,47711.40471011573,99.0,0.52,1.6853698135418913,0.1698083286398867
370,2017,Georgia,8.300000190734863,13589.7,5662.651173453492,97.0,0.13,18.35799081153774,0.4484581497797356
371,2017,Germany,2.5,53071.5,3471.8184990932805,99.0,0.46,0.6435679235438456,2.7385069340014616
373,2017,Greece,2.5,28604.9,11938.143606161497,99.0,0.48,4.28933428790848,0.5932416967560524
374,2017,Guatemala,16.299999237060547,8322.2,3578.8050093828087,92.9,0.19,12.565017820301035,0.2856510027982301
375,2017,Honduras,13.199999809265137,5562.0,4089.504143380391,94.2,0.17,12.43854077668338,0.2296939834024896
376,2017,Hungary,2.5,29501.1,3586.910428577213,99.0,0.19,2.2887469061612844,1.4169627507163325
378,2017,Indonesia,6.400000095367432,10935.6,2354.0438407451784,90.1,0.11,14.284548869375794,0.9232359550561798
380,2017,Israel,2.5,39121.3,2270.7842260070784,99.0,0.41,0.4534654205172147,3.1449252136752137
382,2017,Jamaica,8.800000190734863,9600.1,43913.85652385883,90.7,0.2,6.898681478803416,0.0607956764746927
384,2017,Jordan,7.699999809265137,10003.6,1029.037875133867,99.0,0.2,0.7077982063880055,2.5383316782522343
385,2017,Kazakhstan,2.5999999046325684,24863.0,2457.961338989373,95.4,0.17,7.295344298215534,6.928645364536454
387,2017,Latvia,2.5,28673.6,28968.31884831969,98.6,0.18,3.14792140011491,0.1276539278131634
392,2017,Malta,2.5,43559.3,44138.97039514997,99.0,0.45,0.5025860002055099,0.0806518365235385
394,2017,Mauritius,5.900000095367432,21415.1,10011.886149196083,99.0,0.14,2.991703420411436,0.3582938388625592
