,Year,Country,y_ratio,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri
0,2013,Albania,1.7186847599164927,11361.3,4088.797116042907,92.6,0.14,15.527752025974348,0.4150593784216289
1,2013,Algeria,1.9142061281337048,11319.1,10863.001379963614,93.0,0.22,2.991599190941532,0.31964705230677
3,2013,Armenia,1.6072378924960085,10691.3,5808.2691392476445,99.0,0.13,14.568022493152077,0.3288770053475936
5,2013,Austria,1.9076449461262184,52997.8,3174.777187652777,99.0,0.61,2.195135662586308,2.4944411721395965
6,2013,Azerbaijan,1.66008537886873,14651.7,5082.112589602627,89.8,0.15,17.872206039401128,0.7382909136651433
7,2013,Bangladesh,1.3848758465011286,3965.4,607.3523490959182,96.8,0.11,17.144373269981905,0.6658978228066393
10,2013,Bosnia and Herzegovina,1.6079751424132571,11725.3,6100.042962819942,96.4,0.14,4.3748401596794215,1.008838500694123
11,2013,Brazil,1.730891719745223,15805.2,11639.542755506996,97.3,0.24,4.999996915973775,0.2275323658548885
12,2013,Bulgaria,1.4762402088772846,18911.1,6851.765382384749,99.0,0.16,2.6811732965784247,0.8544544544544544
14,2013,Canada,1.789090909090909,46704.8,16387.443799017557,99.0,0.47,0.8895943783265303,0.9918381107153972
15,2013,Chile,1.6063034188034189,23927.4,8981.014269005424,99.0,0.37,4.198449171590926,0.5184145491413726
16,2013,Colombia,1.5836554389839868,13390.5,9638.697876344657,95.8,0.22,7.43568430246958,0.1950838547291568
17,2013,Costa Rica,1.517590618336887,18233.0,3797.8866374068425,98.9,0.24,4.2189438416772616,0.42376457523598
19,2013,Czechia,1.6723163841807909,33661.5,3325.924861680349,99.0,0.2,1.4131732884309862,3.02544731610338
20,2013,Denmark,1.7255002565418165,51479.3,4661.101722692116,99.0,0.51,1.2102014986470744,1.5885083713850838
21,2013,Dominican Republic,1.474198804997284,13702.3,2340.711683833544,95.5,0.22,4.267091524414359,0.9042091836734694
22,2013,Ecuador,1.4531602708803613,11818.6,4783.073636351309,91.7,0.29,11.358345164750562,0.5239185411952615
